html_url,has_install_instruction,has_usage_examples,has_contrib_guidelines,date
https://github.com/a-quei/bert-chinese-classifier,False,False,False,2022-08-12
https://github.com/a-quei/guanyi.cls,False,False,False,2022-08-12
https://github.com/a-quei/mtuna-annotated,False,False,False,2022-08-12
https://github.com/a-quei/neuralreg-re-evaluation,False,False,False,2022-08-12
https://github.com/a-quei/probe-neuralreg,False,False,False,2022-08-12
https://github.com/a-quei/qtuna,False,False,False,2022-08-12
https://github.com/a-quei/quantified-description-generation,False,True,False,2022-08-12
https://github.com/a-quei/simplenlg-zh,False,False,False,2022-08-12
https://github.com/AJueling/AMWG,False,False,False,2022-08-12
https://github.com/AJueling/CESM,False,False,False,2022-08-12
https://github.com/AJueling/EC-Earth3-data,False,False,False,2022-08-12
https://github.com/AJueling/FW-code,False,False,False,2022-08-12
https://github.com/AJueling/LEC,False,True,False,2022-08-12
https://github.com/AJueling/Marit_DSL_thesis,False,False,False,2022-08-12
https://github.com/AJueling/melt,True,True,False,2022-08-12
https://github.com/AJueling/MV-code,True,False,False,2022-08-12
https://github.com/AJueling/python_climate_physics,True,False,False,2022-08-12
https://github.com/AJueling/thesis-figures,False,False,False,2022-08-12
https://github.com/aldertzomer/cgmlst,True,False,False,2022-08-12
https://github.com/aldertzomer/essentials,False,False,False,2022-08-12
https://github.com/aldertzomer/FastDeMe,True,True,False,2022-08-12
https://github.com/aldertzomer/Microbial-Genomics-2019,False,True,True,2022-08-12
https://github.com/aldertzomer/Microbial-Genomics-2021,False,True,True,2022-08-12
https://github.com/aldertzomer/ResistNanome,True,True,False,2022-08-12
https://github.com/aldertzomer/RFPlasmid,True,True,False,2022-08-12
https://github.com/aldertzomer/scripts,False,False,False,2022-08-12
https://github.com/aldertzomer/vibrio_parahaemolyticus_genomoserotyping,True,False,False,2022-08-12
https://github.com/amices/callmice,True,True,False,2022-08-12
https://github.com/amices/dsMice,True,True,False,2022-08-12
https://github.com/amices/dsMiceClient,True,True,False,2022-08-12
https://github.com/amices/ggmice,True,True,True,2022-08-12
https://github.com/amices/mice,True,True,True,2022-08-12
https://github.com/amices/shinymice,True,True,False,2022-08-12
https://github.com/amices/Synthemice,False,False,False,2022-08-12
https://github.com/amices/Winnipeg,True,False,True,2022-08-12
https://github.com/anastasiaGiachanou/Processing-Instagram-Packages,False,False,False,2022-08-12
https://github.com/anastasiaGiachanou/Programming-with-Python,False,False,False,2022-08-12
https://github.com/anastasiaGiachanou/Text-Analysis-of-National-Artificial-Intelligence-Policies,False,False,False,2022-08-12
https://github.com/annalenalamprecht/Coffee-Partner-Lottery,False,False,False,2022-08-12
https://github.com/annalenalamprecht/CoTaPP,False,False,False,2022-08-12
https://github.com/annalenalamprecht/instructional-code,False,False,False,2022-08-12
https://github.com/aromanowski/2021-03-19-carpentries-test,True,True,False,2022-08-12
https://github.com/aromanowski/binder,True,True,False,2022-08-12
https://github.com/aromanowski/Circadian_rhythms_and_alternative_splicing,False,False,False,2022-08-12
https://github.com/aromanowski/Circadian_rhythms_and_alternative_splicing-atspf30-1-scripts-,False,False,False,2022-08-12
https://github.com/aromanowski/Elgg,False,False,False,2022-08-12
https://github.com/aromanowski/group-website,False,False,False,2022-08-12
https://github.com/aromanowski/leaf3_dev,False,False,False,2022-08-12
https://github.com/aromanowski/LeafDev-app,False,False,False,2022-08-12
https://github.com/aromanowski/old_faithful,False,False,False,2022-08-12
https://github.com/aromanowski/roar_workshop,False,False,False,2022-08-12
https://github.com/asreview/.github,False,False,False,2022-08-12
https://github.com/asreview/asreview,True,False,False,2022-08-12
https://github.com/asreview/asreview-artwork,False,False,False,2022-08-12
https://github.com/asreview/asreview-covid19,True,True,True,2022-08-12
https://github.com/asreview/asreview-datatools,True,True,False,2022-08-12
https://github.com/asreview/asreview-extension-vocab-extractor,False,False,False,2022-08-12
https://github.com/asreview/asreview-hyperopt,True,True,False,2022-08-12
https://github.com/asreview/asreview-insights,True,True,False,2022-08-12
https://github.com/asreview/asreview-multilingual-feature-extractor,True,True,False,2022-08-12
https://github.com/asreview/asreview-project-files-testing,False,False,False,2022-08-12
https://github.com/asreview/asreview-ranking-stability,False,True,False,2022-08-12
https://github.com/asreview/asreview-simulation-time,False,False,False,2022-08-12
https://github.com/asreview/asreview-wordcloud,True,True,False,2022-08-12
https://github.com/asreview/automated-systematic-review-simulations,True,False,False,2022-08-12
https://github.com/asreview/citation-file-formatting,False,True,True,2022-08-12
https://github.com/asreview/paper-asreview,True,False,False,2022-08-12
https://github.com/asreview/paper-depression-brouwer-simulation-ATD,True,False,False,2022-08-12
https://github.com/asreview/paper-evaluating-models-across-research-areas,True,False,False,2022-08-12
https://github.com/asreview/paper-guidelines-KIFMS,True,False,True,2022-08-12
https://github.com/asreview/paper-megameta-hyperparameter-training,True,False,True,2022-08-12
https://github.com/asreview/paper-megameta-postprocessing-screeningresults,True,True,True,2022-08-12
https://github.com/asreview/paper-simulating-risk-analysis-documents-KNMP,True,False,False,2022-08-12
https://github.com/asreview/paper-simulation-smid-2020-mbr,True,False,False,2022-08-12
https://github.com/asreview/semantic-clusters,True,True,False,2022-08-12
https://github.com/asreview/systematic-review-datasets,False,False,False,2022-08-12
https://github.com/asreview/template-extension-new-dataset,True,False,False,2022-08-12
https://github.com/asreview/template-extension-new-model,True,True,False,2022-08-12
https://github.com/basm92/applied_microeconometrics,False,False,False,2022-08-12
https://github.com/basm92/basm92,False,False,False,2022-08-12
https://github.com/basm92/Big-Data-Big-Questions,False,False,False,2022-08-12
https://github.com/basm92/Clio,False,False,False,2022-08-12
https://github.com/basm92/deep_learning,False,False,False,2022-08-12
https://github.com/basm92/econometrics2,False,False,False,2022-08-12
https://github.com/basm92/econometrics_iii,False,False,False,2022-08-12
https://github.com/basm92/Getting-and-Cleaning-Data,False,False,False,2022-08-12
https://github.com/basm92/hdng,True,False,False,2022-08-12
https://github.com/basm92/macroeconomics_i,False,False,False,2022-08-12
https://github.com/basm92/micro2_gametheory,False,False,False,2022-08-12
https://github.com/basm92/Miscprojects,False,False,False,2022-08-12
https://github.com/basm92/Polcon_Indonesia,False,False,False,2022-08-12
https://github.com/basm92/Polrents,False,False,False,2022-08-12
https://github.com/basm92/replication_packages,True,False,False,2022-08-12
https://github.com/basm92/R_Introduction,True,True,False,2022-08-12
https://github.com/Bastiaansen/Climate_Feedback_Projections,False,False,True,2022-08-12
